model_name,model_display_name,trial,stage,final_val_acc,best_val_acc,final_val_f1,best_val_f1,final_val_f2,best_val_f2,final_val_precision,final_val_recall,final_generalization_gap,val_acc_std,convergence_epoch,trial_time,history,optimizer,learning_rate,batch_size,hidden_dim,weight_decay,dropout,mixup_alpha,gradient_clipping,label_smoothing,use_ema,ema_decay,lr_schedule,warmup_epochs
efficientnet,EfficientNet-B0,1,1,26.027397260273972,26.027397260273972,0.22557726405552928,0.22557726405552928,0.23672981050348077,0.23672981050348077,0.2820075877154984,0.2602739726027397,5.4076824663775085,2.026126184754184,15,244.94850039482117,"{'train_loss': [1.6088750532695226, 1.602058932894752, 1.5939229499726069, 1.5866771056538536, 1.583057409241086, 1.577460283324832, 1.576184976668585, 1.5729783886954898, 1.562530415398734, 1.5637160766692388, 1.5664978992371332, 1.5618078055835904, 1.5551274163382394, 1.5658418451036726, 1.5614044609523954], 'val_loss': [1.6119895151683263, 1.6027877671378, 1.6044761112758092, 1.6027530772345406, 1.602507472038269, 1.604046072278704, 1.6018192086900984, 1.6038597651890345, 1.6009506157466344, 1.6019822699683053, 1.601972954613822, 1.6004884924207414, 1.6007855449404036, 1.600779550416129, 1.5981974261147636], 'train_acc': [20.577069096431284, 23.690205011389523, 26.42369020501139, 28.929384965831435, 30.372057706909644, 30.52391799544419, 29.916476841305997, 30.599848139711465, 31.43507972665148, 32.95368261199696, 31.662870159453302, 30.144267274107822, 33.78891419893698, 31.05542900531511, 31.43507972665148], 'val_acc': [16.894977168949772, 21.461187214611872, 19.634703196347033, 22.374429223744293, 21.91780821917808, 21.461187214611872, 23.28767123287671, 21.004566210045663, 23.744292237442924, 22.374429223744293, 20.091324200913242, 21.004566210045663, 23.744292237442924, 21.461187214611872, 26.027397260273972], 'val_f1': [0.1308803952771606, 0.1644177030442479, 0.16155034422337777, 0.17305118593000038, 0.16601380605458496, 0.16545175457710506, 0.17782557773416463, 0.16107142913944994, 0.19439052746965385, 0.1832471025565415, 0.15481087638328375, 0.15860348354304837, 0.20064089340473826, 0.1654914617995139, 0.22557726405552928], 'val_precision': [0.1678569633865667, 0.2004767777190535, 0.21244387817012497, 0.2509105240269624, 0.25057908542852325, 0.2427218081773, 0.24330828200273574, 0.22184170471841705, 0.2700593959676747, 0.24166398216468016, 0.1995492652253063, 0.21981792775119977, 0.26865471245461336, 0.20885158745471302, 0.2820075877154984], 'val_recall': [0.1689497716894977, 0.2146118721461187, 0.1963470319634703, 0.2237442922374429, 0.2191780821917808, 0.2146118721461187, 0.2328767123287671, 0.2100456621004566, 0.2374429223744292, 0.2237442922374429, 0.2009132420091324, 0.2100456621004566, 0.2374429223744292, 0.2146118721461187, 0.2602739726027397], 'val_f2': [0.14586887239377472, 0.1857148073151533, 0.1746191081734131, 0.19280457126053, 0.1875279899369016, 0.1848011622971094, 0.19977322900455785, 0.1811254385776863, 0.21008866120119668, 0.1984791689926942, 0.1739122580124017, 0.17934223218818707, 0.2138914383663918, 0.18521975732652263, 0.23672981050348077], 'generalization_gap': [3.682091927481512, 2.2290177967776508, 6.788987008664357, 6.554955742087142, 8.454249487731563, 9.062730780832318, 6.6288056084292855, 9.595281929665802, 7.690787489208557, 10.579253388252667, 11.57154595854006, 9.139701064062159, 10.044621961494055, 9.594241790703236, 5.4076824663775085], 'learning_rate': [0.0001, 9.890738003669029e-05, 9.567727288213005e-05, 9.045084971874738e-05, 8.345653031794292e-05, 7.500000000000001e-05, 6.545084971874738e-05, 5.522642316338269e-05, 4.4773576836617344e-05, 3.454915028125264e-05, 2.5000000000000018e-05, 1.654346968205711e-05, 9.549150281252635e-06, 4.322727117869952e-06, 1.092619963309716e-06]}",sgd,0.0001,32,512,3e-05,0.2,0.0,1.0,0.0,True,0.9999,cosine,0
efficientnet,EfficientNet-B0,2,1,12.785388127853881,16.438356164383563,0.10576480853263978,0.13970413189026282,0.1141169013620778,0.1502700224255575,0.09943735018086135,0.1278538812785388,70.35811984481127,1.4678311660567667,1,97.68582010269165,"{'train_loss': [1.3831919318153745, 1.1110848756063552, 1.063999096552531, 1.011265896615528, 0.8992481018815722, 0.8286868447349185], 'val_loss': [1.6157556431634086, 1.631161400250026, 1.628325275012425, 1.631114431789943, 1.6292910064969743, 1.6279075826917375], 'train_acc': [43.887623386484435, 64.61655277145026, 71.07061503416857, 73.34851936218679, 79.42293090356871, 83.14350797266515], 'val_acc': [16.438356164383563, 14.61187214611872, 11.872146118721462, 13.242009132420092, 13.242009132420092, 12.785388127853881], 'val_f1': [0.13970413189026282, 0.1109675381122538, 0.07492773251309338, 0.11233942329699044, 0.10064991650268237, 0.10576480853263978], 'val_precision': [0.1339209951177407, 0.14374821465877066, 0.12198303979125898, 0.13150968547037636, 0.0835532808135548, 0.09943735018086135], 'val_recall': [0.1643835616438356, 0.1461187214611872, 0.1187214611872146, 0.1324200913242009, 0.1324200913242009, 0.1278538812785388], 'val_f2': [0.1502700224255575, 0.11553738602552135, 0.08013878128609497, 0.11303645531298934, 0.11619736050676414, 0.1141169013620778], 'generalization_gap': [27.449267222100872, 50.00468062533154, 59.19846891544711, 60.1065102297667, 66.18092177114862, 70.35811984481127], 'learning_rate': [0.00015, 0.0003, 0.0003, 0.0003, 0.0003, 0.0003]}",adamw,0.0003,32,1024,0.001,0.1,0.2,0.0,0.1,True,0.9999,none,2
efficientnet,EfficientNet-B0,3,1,10.95890410958904,15.068493150684931,0.024249489944622556,0.11523315144405864,0.045516215151647776,0.12463010898239593,0.013633086452120339,0.1095890410958904,79.70168814553624,1.4510755602308565,1,147.95425176620483,"{'train_loss': [1.406964829989842, 1.0377541950770788, 0.7502731907935369, 0.5770427215666998, 0.4888839352698553, 0.40250989936646964, 0.313707471603439, 0.2676537608106931, 0.2580765223219281], 'val_loss': [1.6152777969837189, 1.6198415160179138, 1.6164761781692505, 1.614757925271988, 1.6159306764602661, 1.616472065448761, 1.6169992685317993, 1.616672694683075, 1.615417093038559], 'train_acc': [40.62262718299165, 62.26271829916477, 71.37433561123765, 77.29688686408504, 82.38420652999241, 84.05466970387243, 88.5345482156416, 90.43280182232347, 90.66059225512528], 'val_acc': [15.068493150684931, 11.872146118721462, 12.32876712328767, 11.415525114155251, 10.502283105022832, 10.502283105022832, 10.045662100456621, 10.502283105022832, 10.95890410958904], 'val_f1': [0.11523315144405864, 0.0712394597741108, 0.04201403302430699, 0.024631008545065274, 0.029353691771797787, 0.036453760541528754, 0.03014736405147364, 0.03147280301209645, 0.024249489944622556], 'val_precision': [0.2667346788472349, 0.19350700917109495, 0.3147625494290326, 0.013804821068280768, 0.0249798549556809, 0.06726027397260274, 0.08065486134313399, 0.08142321081423211, 0.013633086452120339], 'val_recall': [0.1506849315068493, 0.1187214611872146, 0.1232876712328767, 0.1141552511415525, 0.1050228310502283, 0.1050228310502283, 0.1004566210045662, 0.1050228310502283, 0.1095890410958904], 'val_f2': [0.12463010898239593, 0.0859606875134509, 0.059881228487011044, 0.04652094874107156, 0.04761904761904762, 0.051647883397843826, 0.04595643677183558, 0.04829184212547708, 0.045516215151647776], 'generalization_gap': [25.55413403230672, 50.39057218044331, 59.045568487949986, 65.8813617499298, 71.88192342496959, 73.55238659884961, 78.48888611518498, 79.93051871730064, 79.70168814553624], 'learning_rate': [0.00015, 0.0003, 0.0002902026305215181, 0.00027435015370499375, 0.0002531353988559323, 0.0002274855525609261, 0.00019852163618468507, 0.00016750951185714183, 0.00013580455822409304]}",adamw,0.0003,64,512,0.0001,0.2,0.0,0.5,0.0,True,0.9999,cosine,2
efficientnet,EfficientNet-B0,4,1,76.25570776255708,76.25570776255708,0.7566696209070233,0.7566696209070233,0.7568733454906709,0.7568733454906709,0.7804999896729895,0.7625570776255708,8.558263383988105,8.315797176968704,15,243.4099907875061,"{'train_loss': [1.3113580317724318, 1.1627535223960876, 1.0042835757845925, 0.9732084898721605, 0.9118423405147734, 0.9307340099698022, 0.931772788365682, 0.903644201301393, 0.7898959262030465, 0.8082503023601714, 0.7799506811868577, 0.7576070456277757, 0.7699064527239118, 0.8314074590092614, 0.7954667324111575], 'val_loss': [1.8523893430829048, 1.0783930718898773, 1.128478616476059, 1.3317990899085999, 1.1671902984380722, 0.998313307762146, 1.0938391834497452, 1.014158546924591, 0.9055457711219788, 0.9414075016975403, 0.9413191676139832, 0.9218186736106873, 0.9847221970558167, 0.834165409207344, 0.800280749797821], 'train_acc': [49.35459377372817, 63.24981017463933, 70.84282460136674, 72.66514806378132, 76.91723614274868, 76.15793470007593, 78.20804859529233, 78.81548974943053, 82.53606681852696, 83.37129840546697, 83.90280941533788, 84.28246013667426, 84.43432042520881, 84.35839028094153, 84.81397114654519], 'val_acc': [46.118721461187214, 66.21004566210046, 59.817351598173516, 62.10045662100457, 52.96803652968037, 72.14611872146119, 69.40639269406392, 67.12328767123287, 73.97260273972603, 68.94977168949772, 69.86301369863014, 75.34246575342466, 71.23287671232876, 74.88584474885845, 76.25570776255708], 'val_f1': [0.379286565369727, 0.6416723038802007, 0.5891928467270933, 0.5904155675704637, 0.46616659880157063, 0.7055163818819423, 0.7020261329587555, 0.6505269975565101, 0.7423825831702545, 0.6898686334102784, 0.682626314010348, 0.7325282437215875, 0.7029401150696668, 0.7557104996091308, 0.7566696209070233], 'val_precision': [0.424297522025977, 0.6501117570315796, 0.6700540718570532, 0.6758496371103475, 0.6903399249164823, 0.7424732957994312, 0.7511142992307375, 0.6881683642817507, 0.7745521601685985, 0.7146318616140859, 0.7211817292296745, 0.7682348600156819, 0.7270159064679613, 0.773858759558708, 0.7804999896729895], 'val_recall': [0.4611872146118721, 0.6621004566210046, 0.5981735159817352, 0.6210045662100456, 0.5296803652968036, 0.7214611872146118, 0.6940639269406392, 0.6712328767123288, 0.7397260273972602, 0.6894977168949772, 0.6986301369863014, 0.7534246575342466, 0.7123287671232876, 0.7488584474885844, 0.7625570776255708], 'val_f2': [0.4106451152546373, 0.6514053272779726, 0.5864828075805253, 0.6023903441801449, 0.49253827922856724, 0.7104886542871626, 0.6933830748261492, 0.6571049886631558, 0.7371384300130351, 0.6866564578154458, 0.688887079851618, 0.7409289494859855, 0.7042167503943908, 0.7501182966288275, 0.7568733454906709], 'generalization_gap': [3.2358723125409554, -2.9602354874611265, 11.025473003193227, 10.564691442776748, 23.94919961306831, 4.0118159786147345, 8.8016559012284, 11.692202078197653, 8.563464078800934, 14.42152671596925, 14.039795716707744, 8.939994383249598, 13.20144371288005, 9.472545532083089, 8.558263383988105], 'learning_rate': [0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002]}",adam,0.002,64,256,0.0003,0.1,0.1,0.0,0.1,False,0.999,none,0
efficientnet,EfficientNet-B0,5,1,84.01826484018265,84.01826484018265,0.8393045928363204,0.8393045928363204,0.8393460431692439,0.8393460431692439,0.8428328368155995,0.8401826484018264,10.059183906969963,9.45282682749164,15,240.4137041568756,"{'train_loss': [1.241354716675622, 1.1952372434593381, 1.0971857451257252, 0.992767177876972, 0.9848528390838986, 0.8883074749083746, 0.8397116717838106, 0.7979171219326201, 0.7426137782278515, 0.6971562391235715, 0.65408022914614, 0.5883767150697254, 0.5695869198867253, 0.5539677668185461, 0.535285764506885], 'val_loss': [1.145185615335192, 1.1582446183477129, 1.1984155944415502, 1.2016683987208776, 1.1265980345862252, 0.9706596987588065, 0.9509075028555733, 0.9403276358331952, 0.8520322271755764, 0.7852004425866264, 0.7687866687774658, 0.7653603042875018, 0.744765043258667, 0.7321737834385463, 0.7274343882288251], 'train_acc': [54.89749430523918, 59.37737281700835, 64.76841305998481, 69.32422171602126, 70.53910402429764, 75.77828397873957, 77.82839787395596, 80.18223234624146, 83.97873955960516, 84.96583143507972, 86.94001518602886, 91.26803340926348, 91.87547456340167, 93.47000759301443, 94.07744874715262], 'val_acc': [67.12328767123287, 62.55707762557078, 59.36073059360731, 57.990867579908674, 59.36073059360731, 73.05936073059361, 73.97260273972603, 76.71232876712328, 78.53881278538813, 83.56164383561644, 80.36529680365297, 81.7351598173516, 82.1917808219178, 83.56164383561644, 84.01826484018265], 'val_f1': [0.6562280892489976, 0.6136282413679676, 0.5534775897507068, 0.5468243446484342, 0.5576872808645994, 0.7277066360162997, 0.7400844953919324, 0.7583487649813554, 0.7867750959366524, 0.8307825356383192, 0.8030773040145788, 0.8168867355973702, 0.8209321683863501, 0.8358544613434684, 0.8393045928363204], 'val_precision': [0.6612206887080715, 0.7180210226974517, 0.5617357268710426, 0.6703530062917654, 0.612818230966239, 0.74412730361918, 0.758169722972922, 0.7874240207692973, 0.8084238051569504, 0.8451485278540121, 0.8063798509179221, 0.827515599926078, 0.8262875597858659, 0.8367372951857708, 0.8428328368155995], 'val_recall': [0.6712328767123288, 0.6255707762557078, 0.593607305936073, 0.5799086757990868, 0.593607305936073, 0.730593607305936, 0.7397260273972602, 0.7671232876712328, 0.7853881278538812, 0.8356164383561644, 0.8036529680365296, 0.817351598173516, 0.821917808219178, 0.8356164383561644, 0.8401826484018264], 'val_f2': [0.66306473636938, 0.616323864236334, 0.5734006874454419, 0.5516633239361886, 0.5722782656130891, 0.7269892181712324, 0.73728078171145, 0.7598153020090245, 0.7834694085483521, 0.831958160379511, 0.8029581626997623, 0.8158600703252074, 0.8207253183807348, 0.8356344498135605, 0.8393460431692439], 'generalization_gap': [-12.225793365993695, -3.179704808562427, 5.407682466377501, 11.333354136112582, 11.178373430690336, 2.7189232481459555, 3.855795134229936, 3.4699035791181814, 5.439926774217028, 1.4041875994632846, 6.574718382375892, 9.53287359191188, 9.683693741483864, 9.908363757397993, 10.059183906969963], 'learning_rate': [0.0015, 0.003, 0.0029020263052151815, 0.0027435015370499377, 0.002531353988559323, 0.0022748555256092606, 0.0019852163618468504, 0.001675095118571418, 0.0013580455822409302, 0.0010479243389654974, 0.0007582851752030872, 0.0005017867122530251, 0.0002896391637624103, 0.00013111439559716602, 3.314070081234792e-05]}",adamw,0.003,32,512,1e-05,0.2,0.0,0.5,0.1,False,0.9999,cosine,2
efficientnet,EfficientNet-B0,6,1,11.872146118721462,22.831050228310502,0.09630873959678207,0.21370242261399866,0.10450896337110956,0.21891488350592705,0.10822419589542878,0.1187214611872146,65.72846132243268,3.771540850339077,1,96.56659603118896,"{'train_loss': [1.4489867176328386, 1.1996388208298456, 1.0058412835711525, 0.8599224005426679, 0.7203161503587451, 0.7821118803251357], 'val_loss': [1.607614517211914, 1.6085257530212402, 1.6155612766742706, 1.6321245431900024, 1.6252284944057465, 1.713655024766922], 'train_acc': [37.28170083523159, 57.09946848899013, 64.08504176157935, 74.56340167046318, 77.67653758542141, 77.60060744115414], 'val_acc': [22.831050228310502, 22.831050228310502, 18.72146118721461, 17.35159817351598, 16.894977168949772, 11.872146118721462], 'val_f1': [0.21370242261399866, 0.19278095167953763, 0.15271454673214982, 0.13791485895727348, 0.14681728816103834, 0.09630873959678207], 'val_precision': [0.24291484362984533, 0.20912614351394188, 0.17441408411675444, 0.14272287547035545, 0.15935813329732473, 0.10822419589542878], 'val_recall': [0.228310502283105, 0.228310502283105, 0.1872146118721461, 0.1735159817351598, 0.1689497716894977, 0.1187214611872146], 'val_f2': [0.21891488350592705, 0.2095229317519936, 0.16933595531713208, 0.15546122159325168, 0.15655867033834836, 0.10450896337110956], 'generalization_gap': [14.450650606921087, 34.268418260679624, 45.36358057436473, 57.2118034969472, 60.78156041647164, 65.72846132243268], 'learning_rate': [0.00015, 0.0003, 0.0003, 0.0003, 0.0003, 0.0003]}",adam,0.0003,64,256,0.001,0.2,0.2,1.0,0.0,True,0.9999,plateau,2
efficientnet,EfficientNet-B0,7,1,42.922374429223744,44.74885844748859,0.3223736726023614,0.34060864647605743,0.37517149431793656,0.3947674611393968,0.31385469048031905,0.4292237442922374,1.8004805442007026,5.220855463163683,14,238.48242497444153,"{'train_loss': [1.6039557400203885, 1.576315666948046, 1.542412193048568, 1.5195142002332778, 1.4849317755017961, 1.4502391985484533, 1.4199055490039645, 1.3942380036626543, 1.380511604604267, 1.3626417177064079, 1.3579661732628232, 1.3467370555514382, 1.3441867941901797, 1.3275573537463234, 1.3461085614703951], 'val_loss': [1.5989624943052019, 1.5685199839728219, 1.5439681495938982, 1.5143812213625227, 1.4815211636679513, 1.461063998086112, 1.423876336642674, 1.4184511048453194, 1.3904446022851127, 1.386049211025238, 1.3753942166055952, 1.3626003435679845, 1.358899073941367, 1.364679115159171, 1.3683428083147322], 'train_acc': [25.360668185269553, 32.34624145785877, 32.2703113135915, 35.383447228549734, 36.674259681093396, 36.522399392558846, 37.66135155656796, 39.863325740318906, 41.45785876993166, 43.05239179954442, 43.96355353075171, 44.874715261959, 42.97646165527715, 46.089597570235384, 44.72285497342445], 'val_acc': [23.744292237442924, 36.529680365296805, 36.986301369863014, 34.70319634703196, 36.529680365296805, 36.986301369863014, 40.63926940639269, 39.726027397260275, 41.55251141552512, 42.465753424657535, 42.465753424657535, 44.29223744292238, 44.29223744292238, 44.74885844748859, 42.922374429223744], 'val_f1': [0.20360517445576382, 0.2505576764727899, 0.24452297678033616, 0.22134455313098034, 0.24664452746644525, 0.2471277199214764, 0.28888180949346925, 0.27881887366818875, 0.29913015426800466, 0.3093014311752061, 0.3133561643835616, 0.340073929115025, 0.33773900971057447, 0.34060864647605743, 0.3223736726023614], 'val_precision': [0.19344911627930006, 0.22249896222498963, 0.2329456599066701, 0.20431977966224543, 0.20915094701976283, 0.22555330987848393, 0.2350724257717769, 0.22796665268751531, 0.23728968566557979, 0.2465137589819511, 0.31151699644850334, 0.33572181243414123, 0.32564073121253356, 0.32792628038556204, 0.31385469048031905], 'val_recall': [0.2374429223744292, 0.365296803652968, 0.3698630136986301, 0.3470319634703196, 0.365296803652968, 0.3698630136986301, 0.4063926940639269, 0.3972602739726027, 0.4155251141552511, 0.4246575342465753, 0.4246575342465753, 0.4429223744292237, 0.4429223744292237, 0.4474885844748858, 0.4292237442922374], 'val_f2': [0.21999628034523838, 0.3000652315720809, 0.29557458552296045, 0.27327398335073033, 0.29944041260300935, 0.29853166240152545, 0.34569656241922975, 0.33504370451408233, 0.358188904035383, 0.36830591626522224, 0.3690598300973329, 0.3911913037551966, 0.3911397397275751, 0.3947674611393968, 0.37517149431793656], 'generalization_gap': [1.6163759478266293, -4.183438907438038, -4.715990056271515, 0.6802508815177717, 0.1445793157965909, -0.46390197730416816, -2.9779178498247347, 0.13729834305863164, -0.09465264559345599, 0.5866383748868813, 1.497800106094175, 0.5824778190366189, -1.3157757876452294, 1.3407391227467969, 1.8004805442007026], 'learning_rate': [0.0006000000000000001, 0.0012000000000000001, 0.0018, 0.0024000000000000002, 0.003, 0.002696014309998527, 0.0023527523659107466, 0.0019852163618468512, 0.0016094693848178526, 0.0012419333807539568, 0.0008986714366661763, 0.0005946857466647032, 0.0003432619440877808, 0.00015538845557328107, 3.927625408630746e-05]}",sgd,0.003,32,512,1e-05,0.2,0.0,0.5,0.1,False,0.999,cosine,5
efficientnet,EfficientNet-B0,8,1,18.72146118721461,20.091324200913242,0.1273784481726609,0.15734874652009168,0.14545253293600682,0.16631222656025696,0.1255298776409679,0.1872146118721461,12.561758250902322,0.6135660386832991,1,96.2782654762268,"{'train_loss': [1.6157089727265495, 1.6106137604940505, 1.6008419366109938, 1.5890443410192217, 1.5733253473327273, 1.5650983623095922], 'val_loss': [1.6145131247384208, 1.6189481019973755, 1.618298019681658, 1.6150034836360387, 1.6186095305851527, 1.6163211890629359], 'train_acc': [20.652999240698556, 20.652999240698556, 22.247532270311314, 25.5125284738041, 29.00531511009871, 31.283219438116934], 'val_acc': [20.091324200913242, 19.634703196347033, 18.264840182648403, 19.17808219178082, 18.72146118721461, 18.72146118721461], 'val_f1': [0.15734874652009168, 0.14258315747693703, 0.1121152246299562, 0.1320746968117715, 0.12567986149803284, 0.1273784481726609], 'val_precision': [0.2253379125525244, 0.2528648942365874, 0.11405377980720445, 0.14900840092505802, 0.12942347655259342, 0.1255298776409679], 'val_recall': [0.2009132420091324, 0.1963470319634703, 0.182648401826484, 0.1917808219178082, 0.1872146118721461, 0.1872146118721461], 'val_f2': [0.16631222656025696, 0.15224558359924434, 0.13168844470206884, 0.14782911640977597, 0.14263784794141882, 0.14545253293600682], 'generalization_gap': [0.5616750397853139, 1.0182960443515228, 3.9826920876629117, 6.334446282023279, 10.283853922884099, 12.561758250902322], 'learning_rate': [0.0001, 0.0002, 0.0003, 0.0004, 0.0005, 0.0005]}",sgd,0.0005,32,768,0.0003,0.4,0.0,0.5,0.0,True,0.9999,none,5
efficientnet,EfficientNet-B0,9,1,11.872146118721462,21.461187214611872,0.02519802441524555,0.2096942235715778,0.04778263143757864,0.21055059343911683,0.014094785346427304,0.1187214611872146,63.146836417345355,3.4640360201831055,2,111.29387307167053,"{'train_loss': [1.3324163243884133, 1.1334698427291143, 0.9417175168082828, 0.9614209447588239, 0.8846813468706041, 0.7745868010180337, 0.8386735107217517], 'val_loss': [1.6166840195655823, 1.610995203256607, 1.616272747516632, 1.61631840467453, 1.6135833263397217, 1.6208817958831787, 1.6261155307292938], 'train_acc': [48.13971146545178, 58.69400151860289, 69.32422171602126, 69.93166287015946, 70.00759301442673, 77.90432801822324, 75.01898253606682], 'val_acc': [15.981735159817351, 21.461187214611872, 11.415525114155251, 11.872146118721462, 11.872146118721462, 11.872146118721462, 11.872146118721462], 'val_f1': [0.14044467539403535, 0.2096942235715778, 0.025046721769454564, 0.02519802441524555, 0.02519802441524555, 0.02519802441524555, 0.02519802441524555], 'val_precision': [0.23869111205062812, 0.23528440978701903, 0.014066523837347703, 0.014094785346427304, 0.014094785346427304, 0.014094785346427304, 0.014094785346427304], 'val_recall': [0.1598173515981735, 0.2146118721461187, 0.1141552511415525, 0.1187214611872146, 0.1187214611872146, 0.1187214611872146, 0.1187214611872146], 'val_f2': [0.1384904012752005, 0.21055059343911683, 0.04711169094730738, 0.04778263143757864, 0.04778263143757864, 0.04778263143757864, 0.04778263143757864], 'generalization_gap': [32.157976305634435, 37.23281430399102, 57.908696601866005, 58.059516751438, 58.13544689570527, 66.03218189950178, 63.146836417345355], 'learning_rate': [0.0004, 0.0008, 0.0012, 0.0016, 0.002, 0.0017973428733323513, 0.0015685015772738309]}",adam,0.002,64,512,3e-05,0.2,0.2,0.5,0.0,True,0.999,cosine,5
efficientnet,EfficientNet-B0,10,1,74.88584474885845,76.25570776255708,0.7474527237079938,0.7606002279943941,0.7446824813943856,0.7609644212354297,0.7782724378304599,0.7488584474885844,10.687427840359476,6.43056118186223,13,236.8286416530609,"{'train_loss': [1.3487570512862432, 1.0797668241319203, 1.0575054231144132, 1.0289657882281713, 1.1247111275082542, 1.0714756108465648, 0.9794348222868783, 1.019073492004758, 0.9312476884751093, 0.9419176635288057, 0.8981665174166361, 0.8459154594512213, 0.8973401245616731, 0.8235258005914234, 0.7718781261217027], 'val_loss': [1.4039615392684937, 1.3969692811369896, 1.2401450723409653, 0.9974299967288971, 1.4090966507792473, 1.468483328819275, 1.2148589193820953, 0.9535893052816391, 0.9846125692129135, 0.8918563574552536, 1.1382815390825272, 1.1028508394956589, 0.9262755215167999, 0.8923254907131195, 0.8890746086835861], 'train_acc': [46.089597570235384, 66.05922551252847, 69.62794229309036, 69.70387243735763, 67.27410782080486, 70.083523158694, 75.32270311313592, 74.1837509491268, 77.06909643128321, 77.14502657555049, 79.80258162490509, 82.53606681852696, 79.72665148063781, 83.14350797266515, 85.57327258921792], 'val_acc': [52.96803652968037, 60.273972602739725, 63.926940639269404, 66.21004566210046, 62.10045662100457, 63.470319634703195, 63.470319634703195, 73.97260273972603, 72.14611872146119, 73.51598173515981, 65.75342465753425, 70.77625570776256, 76.25570776255708, 73.51598173515981, 74.88584474885845], 'val_f1': [0.49072655089992157, 0.5568015570454798, 0.619890431397701, 0.6552967388698941, 0.5989002205257549, 0.5812780854651299, 0.5957260114692171, 0.7377453752830515, 0.7240726312268225, 0.7265821137294527, 0.6561751780118995, 0.7132228290077526, 0.7606002279943941, 0.737275749343575, 0.7474527237079938], 'val_precision': [0.6280130773770697, 0.6690212723361317, 0.6719078002548741, 0.6889030112387987, 0.6635341313603751, 0.6577659385917043, 0.6583119996925201, 0.7402291182590937, 0.7318999336721154, 0.7318822629983296, 0.7236139657618563, 0.7504877529708402, 0.7656721969291386, 0.7646752475352542, 0.7782724378304599], 'val_recall': [0.5296803652968036, 0.6027397260273972, 0.639269406392694, 0.6621004566210046, 0.6210045662100456, 0.634703196347032, 0.634703196347032, 0.7397260273972602, 0.7214611872146118, 0.7351598173515982, 0.6575342465753424, 0.7077625570776256, 0.7625570776255708, 0.7351598173515982, 0.7488584474885844], 'val_f2': [0.49611882028834414, 0.5705059839219564, 0.6260212353239223, 0.6545458180651484, 0.6026852911660354, 0.607765199903515, 0.6132009012034579, 0.7384037694592884, 0.7218687087665336, 0.7300295426477122, 0.6502923992592542, 0.7066407962376242, 0.7609644212354297, 0.7330619513808715, 0.7446824813943856], 'generalization_gap': [-6.878438959444985, 5.7852529097887455, 5.701001653820953, 3.493826775257176, 5.17365119980029, 6.613203523990812, 11.85238347843272, 0.2111482094007755, 4.922977709822021, 3.6290448403906765, 14.049156967370834, 11.759811110764403, 3.4709437180807328, 9.627526237505336, 10.687427840359476], 'learning_rate': [0.0006000000000000001, 0.0012000000000000001, 0.0018, 0.0024000000000000002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003]}",adamw,0.003,64,1024,1e-05,0.4,0.1,1.0,0.1,False,0.999,none,5
